,Feature,Importance
0,Location,1.0
1,CD4+Tbet+bc2+,0.562799419226892
2,CD4+Roryt+bc2+,0.44527806419642463
3,CD4+GATA3+bc2+,0.44055951413097166
4,CD8+GATA3+CD25+,0.32226327282366574
5,CD4+Ki67+,0.2961778145347552
6,CD8+Tbet+Ki67+,0.29376967815070554
7,CD8+Roryt+CD25+,0.29231103611999454
8,Treatment,0.28048706147472585
9,CD4+GATA3+bc2+Ki67+,0.2801265840490202
10,CD4+CD25+,0.25643096326304143
11,CD8+Roryt+,0.22532188485905252
12,CD4+Foxp3+CD25+bc2+Ki67+,0.21516243411104405
13,CD4+Foxp3+CD25+bc2+,0.2084939427780518
14,CD4+Tbet+bc2+Ki67+,0.20817609419901595
15,CD4+GATA3+Ki67+,0.20270710278204238
16,CD4+Tbet+bc2+CD25+,0.19749754995526825
17,CD8+Tbet+CD25+,0.19319350621938475
18,CD4+Roryt+bc2+Ki67+,0.18955090002786937
19,CD4+GATA3+bc2+CD25+,0.18926632416102088
20,CD8+Foxp3+CD25+Ki67+,0.18367007902751223
21,CD8+GATA3+CD44+CD62L(Lo),0.1828074825368498
22,CD4+Roryt+,0.17992533669495123
